s_3246	s_3292	s_3257	s_3252	s_3279	s_3266	s_3258	s_3226	s_3210	s_3213	s_3238	s_3263	s_3249	s_3233	s_3209	s_3305	s_3287	s_3296	s_3270	s_3254	s_3242	s_3267	s_3253	s_3216	s_3250	s_3288	s_3262	s_3219	s_3291	s_3276	s_3227	s_3274	s_3236	s_3230	s_3235	s_3286	s_3284	s_3229	s_3240	s_3244	s_3260	s_3297	s_3272	s_3281	s_3261	s_3228	s_3273	s_3215	s_3285	s_3264	s_3237	s_3248	s_3214	s_3225	s_3255	s_3303	s_3289
s_3253 0.00007532 0.04798857 0.00377005 0.00306833 0.00250875 0.05404891 0.00327755 0.00282626 0.00143466 0.00499403 0.00288673 0.00314081 0.00288074 0.00276132 0.00158849 0.00564129 0.00306127 0.04752028 0.00159258 0.00370100 0.00237514 0.05375699 0 0.00372135 0.00274821 0.00366377 0.00008941 0.00426634 0.04859169 0.00225883 0.00359619 0.00371947 0.00281623 0.00365808 0.00158693 0.00304080 0.00282096 0.00614423 0.00362789 0.00147583 0.00289178 0.04799165 0.00392098 0.00317180 0.00016941 0.00574833 0.00408654 0.00365972 0.00306418 0.00282695 0.00199350 0.00263511 0.00375804 0.00286736 0.00292366 0.00366475 0.00375207
s_3216 0.00372288 0.04807898 0.00249981 0.00404419 0.00419289 0.03347171 0.00255067 0.00376883 0.00395965 0.00104579 0.00205039 0.00208202 0.00189691 0.00173487 0.00357940 0.00516726 0.00401275 0.04827413 0.00413361 0.00017730 0.00529789 0.03476607 0.00372135 0 0.00169177 0.00012735 0.00375970 0.00616239 0.04886283 0.00227687 0.00025643 0.00533526 0.00385874 0.00022572 0.00430803 0.00395235 0.00373285 0.00221653 0.00386839 0.00404841 0.00382264 0.04808187 0.00039528 0.00221464 0.00380889 0.00186630 0.00314611 0.00022750 0.00394368 0.00175503 0.00417104 0.00180223 0.00032539 0.00388331 0.00186665 0.00013233 0.00022680
s_3250 0.00280612 0.04905437 0.00067133 0.00328569 0.00386061 0.03096588 0.00126670 0.00312497 0.00314062 0.00245025 0.00037341 0.00055121 0.00024078 0.00007721 0.00286455 0.00577695 0.00330189 0.04846223 0.00321553 0.00159077 0.00449504 0.03135852 0.00274821 0.00169177 0 0.00164484 0.00275172 0.00557706 0.04957044 0.00099028 0.00167817 0.00336537 0.00316003 0.00172123 0.00319252 0.00325576 0.00319862 0.00356756 0.00233773 0.00313421 0.00322379 0.04898640 0.00188458 0.00082364 0.00285154 0.00333817 0.00113063 0.00173504 0.00321917 0.00009032 0.00314393 0.00016302 0.00184572 0.00324733 0.00024429 0.00155665 0.00172221
s_3288 0.00374148 0.04737141 0.00252015 0.00395403 0.00463872 0.04044983 0.00238824 0.00373521 0.00432186 0.00089543 0.00198352 0.00203938 0.00187393 0.00165293 0.00371565 0.00513839 0.00391436 0.04726083 0.00428753 0.00010307 0.00543262 0.04078171 0.00366377 0.00012735 0.00164484 0 0.00375075 0.00654294 0.04820443 0.00214917 0.00015286 0.00560456 0.00375638 0.00013396 0.00399791 0.00391487 0.00356539 0.00202468 0.00384137 0.00418073 0.00373983 0.04731467 0.00031280 0.00227433 0.00360933 0.00173597 0.00319436 0.00012598 0.00384295 0.00167542 0.00393121 0.00173834 0.00023607 0.00381818 0.00186576 0.00007101 0.00016158
s_3262 0.00007740 0.04856475 0.00383122 0.00307254 0.00259959 0.05374395 0.00303632 0.00277661 0.00143358 0.00502457 0.00288480 0.00320695 0.00292461 0.00275382 0.00158344 0.00578292 0.00314211 0.04836174 0.00166326 0.00364956 0.00239970 0.05379508 0.00008941 0.00375970 0.00275172 0.00375075 0 0.00432924 0.04915165 0.00226163 0.00362150 0.00377328 0.00285029 0.00372930 0.00158108 0.00305919 0.00286002 0.00613712 0.00362335 0.00146138 0.00276701 0.04848539 0.00398832 0.00321387 0.00016399 0.00573334 0.00407443 0.00372347 0.00307770 0.00284832 0.00201583 0.00268633 0.00382945 0.00287300 0.00294129 0.00375809 0.00384274
s_3219 0.00431553 0.04753412 0.00741607 0.00648448 0.00306869 0.04520563 0.00693745 0.00646429 0.00187855 0.00859961 0.00603052 0.00616867 0.00560213 0.00567293 0.00231610 0.00998817 0.00649500 0.04777534 0.00205572 0.00682158 0.00291159 0.04311181 0.00426634 0.00616239 0.00557706 0.00654294 0.00432924 0 0.04830679 0.00542937 0.00667232 0.00529850 0.00630295 0.00653359 0.00197926 0.00642686 0.00569092 0.00922993 0.00518544 0.00191465 0.00571839 0.04751240 0.00670164 0.00619682 0.00437408 0.00911350 0.00683771 0.00615061 0.00653300 0.00602779 0.00314217 0.00590841 0.00625763 0.00587661 0.00619288 0.00644135 0.00611818
s_3291 0.04896817 0.00045653 0.04942012 0.04775592 0.04742524 0.09140873 0.04560246 0.04824645 0.04710794 0.04934961 0.04899496 0.04883580 0.04934030 0.04844416 0.04777160 0.04902614 0.04704655 0.00047790 0.04765873 0.04804986 0.04736725 0.09273086 0.04859169 0.04886283 0.04957044 0.04820443 0.04915165 0.04830679 0 0.04831678 0.04620460 0.04841006 0.04690106 0.04882692 0.04714640 0.04707183 0.04505618 0.04728269 0.04844268 0.04701738 0.04687989 0.00045762 0.04824156 0.05104575 0.04759078 0.04997306 0.04897118 0.04857743 0.04688395 0.04918018 0.04611037 0.04733966 0.04851513 0.04776947 0.04931498 0.04888863 0.04732997
s_3276 0.00227076 0.04758912 0.00152044 0.00276991 0.00360995 0.06845971 0.00161756 0.00226279 0.00234094 0.00384479 0.00130730 0.00128123 0.00115778 0.00102706 0.00265027 0.00566410 0.00280113 0.04831860 0.00275233 0.00241897 0.00389257 0.06466248 0.00225883 0.00227687 0.00099028 0.00214917 0.00226163 0.00542937 0.04831678 0 0.00200650 0.00364301 0.00250683 0.00209977 0.00267214 0.00275824 0.00251391 0.00420087 0.00307086 0.00260949 0.00246130 0.04747171 0.00219527 0.00177758 0.00230453 0.00464329 0.00192727 0.00207152 0.00277531 0.00097653 0.00300095 0.00098905 0.00213604 0.00257958 0.00109571 0.00215377 0.00219242
s_3227 0.00346576 0.04538373 0.00249098 0.00384952 0.00408958 0.03445385 0.00253239 0.00378953 0.00414629 0.00111065 0.00203195 0.00207441 0.00189772 0.00172566 0.00359626 0.00509989 0.00386460 0.04620431 0.00394981 0.00018346 0.00473239 0.03585685 0.00359619 0.00025643 0.00167817 0.00015286 0.00362150 0.00667232 0.04620460 0.00200650 0 0.00511641 0.00366727 0.00024130 0.00387923 0.00385945 0.00360691 0.00211043 0.00373360 0.00376624 0.00365522 0.04575127 0.00041217 0.00219118 0.00345803 0.00178714 0.00306309 0.00026336 0.00379955 0.00168487 0.00399302 0.00181538 0.00036511 0.00391376 0.00187140 0.00014468 0.00022484
s_3274 0.00368787 0.04790569 0.00411777 0.00452786 0.00471349 0.05357026 0.00290137 0.00423370 0.00352634 0.00729216 0.00361755 0.00366951 0.00351329 0.00331659 0.00376632 0.00792144 0.00478665 0.04718718 0.00369998 0.00507513 0.00507152 0.05163304 0.00371947 0.00533526 0.00336537 0.00560456 0.00377328 0.00529850 0.04841006 0.00364301 0.00511641 0 0.00438814 0.00526975 0.00362808 0.00465142 0.00455186 0.00682374 0.00087850 0.00348916 0.00439070 0.04688259 0.00544274 0.00386398 0.00370503 0.00756349 0.00385713 0.00522268 0.00469388 0.00336641 0.00420671 0.00324232 0.00535384 0.00449607 0.00348587 0.00546234 0.00560341
