s_3521	s_3485	s_3471	s_3545	s_3527	s_3462	s_3472	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3528	s_3511	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3487	s_3514	s_3509	s_3520	s_3543	s_3484	s_3512	s_3458	s_3507	s_3530	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3508	s_3542	s_3489	s_3557	s_3473	s_3457	s_3533	s_3517	s_3478	s_3456	s_3535	s_3493	s_3515	s_3470	s_3502	s_3453
s_3516 0.05379508 0.00004087 0.00111089 0.04252360 0.00073179 0.00065553 0.00110569 0.00237880 0.00065368 0.00068037 0.00031663 0.00073372 0.00066681 0.00082566 0.00072910 0.00067216 0.00102105 0.00093193 0.00062063 0.00068993 0 0.00094542 0.00058426 0.00003682 0.00046309 0.00072289 0.00066869 0.05374395 0.00100403 0.00076504 0.00063993 0.00092643 0.00004234 0.00051008 0.00062564 0.00091663 0.00093219 0.03757668 0.03892328 0.00099164 0.00027530 0.03846855 0.00046377 0.00093412 0.00096718 0.00097234 0.00101841 0.00027091 0.00101862 0.00094497 0.00092762 0.00041657 0.00071300 0.00028735 0.00103326 0.00066111 0.00060900 0.00006545 0.00089060 0.05759623 0.00026299
s_3541 0.08497066 0.00094431 0.00130258 0.03061912 0.00101805 0.00113713 0.00123566 0.00239935 0.00091538 0.00039925 0.00100653 0.00038866 0.00038281 0.00091465 0.00098168 0.00094146 0.00129315 0.00016913 0.00089872 0.00038855 0.00094542 0 0.00083905 0.00093400 0.00099640 0.00042076 0.00092512 0.08540647 0.00124961 0.00073122 0.00062001 0.00120627 0.00091407 0.00072703 0.00086602 0.00017941 0.00015754 0.02831876 0.02863497 0.00131302 0.00090615 0.02851363 0.00101218 0.00122490 0.00128572 0.00126126 0.00129871 0.00100870 0.00128431 0.00123691 0.00120491 0.00101368 0.00093741 0.00096850 0.00124032 0.00093927 0.00086671 0.00091803 0.00116240 0.08495356 0.00095563
s_3476 0.00199547 0.00058783 0.00077401 0.03724018 0.00024267 0.00098676 0.00083816 0.00211197 0.00004366 0.00067069 0.00062298 0.00064172 0.00066244 0.00063363 0.00019535 0.00010802 0.00059186 0.00082609 0.00002856 0.00064627 0.00058426 0.00083905 0 0.00058194 0.00076114 0.00066987 0.00010658 0.00206095 0.00054716 0.00051956 0.00037630 0.00054768 0.00058158 0.00022948 0.00013275 0.00084415 0.00081586 0.03201856 0.03489482 0.00053660 0.00053054 0.03459499 0.00071448 0.00056340 0.00055040 0.00054291 0.00053374 0.00059349 0.00052601 0.00058609 0.00057838 0.00065813 0.00016952 0.00062167 0.00066667 0.00021835 0.00008455 0.00060394 0.00054189 0.00185272 0.00061189
s_3491 0.05470437 0.00003919 0.00109519 0.04117511 0.00072930 0.00064096 0.00106931 0.00234025 0.00064465 0.00067677 0.00031922 0.00071911 0.00066971 0.00080933 0.00073242 0.00066976 0.00100328 0.00091121 0.00062960 0.00068406 0.00003682 0.00093400 0.00058194 0 0.00046445 0.00074461 0.00066688 0.05575143 0.00098948 0.00075492 0.00068121 0.00091007 0.00003612 0.00051980 0.00062117 0.00091650 0.00092116 0.03678618 0.03820013 0.00100573 0.00026382 0.03712445 0.00047039 0.00092878 0.00100060 0.00098637 0.00101133 0.00028677 0.00099826 0.00093393 0.00091354 0.00040815 0.00070205 0.00028129 0.00102898 0.00065419 0.00064113 0.00006594 0.00087189 0.05612673 0.00025457
s_3487 0.01410229 0.00045320 0.00117777 0.03050678 0.00094440 0.00051727 0.00106715 0.00232014 0.00086459 0.00079856 0.00026168 0.00080989 0.00080478 0.00090345 0.00096007 0.00082834 0.00105875 0.00099231 0.00082612 0.00079291 0.00046309 0.00099640 0.00076114 0.00046445 0 0.00081931 0.00088557 0.01819796 0.00107479 0.00083845 0.00085229 0.00096635 0.00046353 0.00071216 0.00078310 0.00098224 0.00099917 0.02824715 0.02645914 0.00108241 0.00029889 0.02644179 0.00042423 0.00098388 0.00105386 0.00107570 0.00108337 0.00022898 0.00109145 0.00102467 0.00097888 0.00036142 0.00085813 0.00023090 0.00109218 0.00089533 0.00084197 0.00044340 0.00092263 0.01677221 0.00022806
s_3514 0.05142882 0.00076299 0.00111686 0.02970900 0.00077663 0.00097622 0.00121636 0.00222907 0.00071733 0.00012263 0.00081862 0.00008806 0.00009751 0.00067874 0.00080050 0.00074666 0.00110036 0.00040754 0.00071618 0.00008707 0.00072289 0.00042076 0.00066987 0.00074461 0.00081931 0 0.00074325 0.05395375 0.00110730 0.00058760 0.00039487 0.00104542 0.00074276 0.00055852 0.00070664 0.00042835 0.00040176 0.02737947 0.02837539 0.00112560 0.00074640 0.02815352 0.00086954 0.00106818 0.00110459 0.00110749 0.00111628 0.00083290 0.00110541 0.00110197 0.00105845 0.00079513 0.00075179 0.00080981 0.00111266 0.00072495 0.00071565 0.00072046 0.00101996 0.07194697 0.00077117
s_3509 0.00265338 0.00067270 0.00079906 0.04356190 0.00028029 0.00099999 0.00083439 0.00223912 0.00009684 0.00067937 0.00070630 0.00071739 0.00067260 0.00070624 0.00023534 0.00016933 0.00065174 0.00091377 0.00010376 0.00067790 0.00066869 0.00092512 0.00010658 0.00066688 0.00088557 0.00074325 0 0.00207665 0.00063892 0.00053505 0.00042190 0.00058463 0.00065460 0.00026757 0.00018742 0.00091017 0.00091193 0.03579127 0.04065473 0.00062933 0.00057574 0.03973354 0.00072612 0.00059076 0.00062663 0.00061550 0.00063127 0.00069981 0.00062465 0.00061530 0.00060731 0.00074484 0.00020293 0.00069277 0.00067392 0.00024167 0.00013491 0.00066687 0.00057417 0.00457339 0.00067134
s_3520 0.00002815 0.05271551 0.00142412 0.09140873 0.00193339 0.00818331 0.00170201 0.09714898 0.00214330 0.01997409 0.05506463 0.07006538 0.00508086 0.05357026 0.00279504 0.00213952 0.00295126 0.08474892 0.00159203 0.00394849 0.05374395 0.08540647 0.00206095 0.05575143 0.01819796 0.05395375 0.00207665 0 0.00324397 0.00184720 0.00243007 0.00140018 0.05404891 0.06845971 0.00178619 0.05632540 0.08510049 0.09175881 0.09379954 0.00218711 0.00541886 0.08945605 0.00472329 0.00165496 0.00161654 0.00162278 0.00312643 0.00729548 0.00419241 0.00200449 0.00186218 0.01131829 0.00168279 0.01259225 0.00189117 0.00371811 0.00154583 0.05171565 0.00178068 0.00003575 0.00514555
s_3543 0.00358891 0.00100167 0.00035713 0.03168825 0.00079740 0.00121146 0.00039813 0.00189913 0.00059771 0.00103071 0.00098511 0.00102422 0.00103722 0.00124996 0.00071358 0.00063836 0.00012461 0.00123080 0.00057866 0.00103868 0.00100403 0.00124961 0.00054716 0.00098948 0.00107479 0.00110730 0.00063892 0.00324397 0 0.00102345 0.00076035 0.00005986 0.00096903 0.00073592 0.00059431 0.00126469 0.00123315 0.02904667 0.02799130 0.00006098 0.00084611 0.02751275 0.00098157 0.00005614 0.00006360 0.00006388 0.00005713 0.00100698 0.00005155 0.00006550 0.00008692 0.00092309 0.00065854 0.00095194 0.00021287 0.00070427 0.00058702 0.00097151 0.00006984 0.00354290 0.00098130
s_3484 0.00205271 0.00077353 0.00113943 0.03733869 0.00056440 0.00095148 0.00119862 0.00221834 0.00050789 0.00057999 0.00070595 0.00055393 0.00055446 0.00018554 0.00060050 0.00055486 0.00105490 0.00069922 0.00049954 0.00055306 0.00076504 0.00073122 0.00051956 0.00075492 0.00083845 0.00058760 0.00053505 0.00184720 0.00102345 0 0.00050909 0.00098086 0.00076629 0.00055446 0.00055993 0.00072205 0.00070292 0.03280193 0.03497686 0.00102914 0.00066081 0.03446280 0.00080851 0.00100592 0.00101753 0.00102010 0.00102900 0.00067505 0.00100705 0.00104891 0.00100277 0.00066219 0.00058130 0.00069949 0.00106513 0.00058532 0.00051923 0.00076509 0.00098383 0.00171571 0.00069500
